"coffee_sugar,tea","cereal,crackers,tea"
"dr_pepper,sprite","cereal,crackers,tea,coffee_sugar,sprite"
"coke,dr_pepper","cereal,crackers,tea,coffee_sugar,sprite,dr_pepper"
"noodles,soup","cereal,crackers,tea,coffee_sugar,sprite,dr_pepper,coke,soup"
"banana,orange","cereal,crackers,tea,coffee_sugar,sprite,dr_pepper,coke,soup,noodles,orange"
"crackers,cereal",cereal
"nutella,jam","cereal,crackers,cereal,jam"
"soup,nutella","cereal,crackers,cereal,jam,nutella"
"orange,banana","cereal,crackers,cereal,jam,nutella,soup,carrots,banana"
"butter,crackers","cereal,crackers,cereal,jam,nutella,soup,carrots,banana,orange,ginger"
"noodles,butter","cereal,crackers,cereal,jam,nutella,soup,carrots,banana,orange,ginger,butter"
"soup,corn",corn
"cookies,cereal","corn,soup,corn,orange,ginger,cereal"
"crackers,cookies","corn,soup,corn,orange,ginger,cereal,cookies"
"jam,peanut_butter","corn,soup,corn,orange,ginger,cereal,cookies,crackers,peanut_butter"
"sprite,coke","corn,soup,corn,orange,ginger,cereal,cookies,crackers,peanut_butter,jam,coke"
"noodles,soup","corn,soup,corn,orange,ginger,cereal,cookies,crackers,peanut_butter,jam,coke,sprite"
"orange,banana","breakfast_cereal,crackers,banana"
"soup,corn","breakfast_cereal,crackers,banana,orange,corn"
"chili,soup","breakfast_cereal,crackers,banana,orange,corn,soup"
"nutella,jam","breakfast_cereal,crackers,banana,orange,corn,soup,chili,jam"
"banana,orange","peanut_butter,orange"
"jam,peanut_butter","peanut_butter,orange,banana"
"peas,soup","peanut_butter,orange,banana,jam,peanut_butter,soup"
"graham_crackers,breakfast_cereal","peanut_butter,orange,banana,jam,peanut_butter,soup,peas,breakfast_cereal"
"graham_crackers,cookies",cookies
"peanut_butter,nutella","cookies,graham_crackers,cookies,nutella"
"jam,peanut_butter","cookies,graham_crackers,cookies,nutella,peanut_butter"
"corn,jam","cookies,graham_crackers,cookies,nutella,peanut_butter,jam"
"oatmeal,corn","cookies,graham_crackers,cookies,nutella,peanut_butter,jam,corn"
"apple,orange","cookies,graham_crackers,cookies,nutella,peanut_butter,jam,corn,oatmeal,orange"
"tea,cookies","cookies,graham_crackers,cookies,nutella,peanut_butter,jam,corn,oatmeal,orange,apple"
"dr_pepper,coke","tea,coke"
"fanta,coke","tea,coke,dr_pepper"
"sprite,dr_pepper","tea,coke,dr_pepper,fanta"
"apple,orange","tea,coke,dr_pepper,fanta,sprite,crackers,noodles,orange"
"banana,apple","tea,coke,dr_pepper,fanta,sprite,crackers,noodles,orange,apple"
"soup,noodles","tea,coke,dr_pepper,fanta,sprite,crackers,noodles,orange,apple,banana"
"corn,chili",chili
"soup,corn","chili,corn,chili"
"jam,soup","chili,corn,chili,soup"
"breakfast_cereal,crackers","chili,corn,chili,soup,jam,noodles,butter,crackers"
"graham_crackers,breakfast_cereal","chili,corn,chili,soup,jam,noodles,butter,crackers,breakfast_cereal"
"coffee_sugar,graham_crackers","chili,corn,chili,soup,jam,noodles,butter,crackers,breakfast_cereal,graham_crackers"
"fanta,sprite","chili,corn,chili,soup,jam,noodles,butter,crackers,breakfast_cereal,graham_crackers,coffee_sugar,sprite"
"jam,nutella",nutella
"soup,peas","nutella,jam,peas"
"coke,fanta","nutella,jam,peas,soup,fanta"
"peanut_butter,jam","nutella,jam,peas,soup,fanta,coke"
"crackers,tea",tea
"cookies,crackers","tea,crackers,tea"
"graham_crackers,oatmeal","tea,crackers,tea,cookies,oatmeal"
"apple,banana","tea,crackers,tea,cookies,oatmeal,graham_crackers,peanut_butter,banana"
"corn,soup","oatmeal,graham_crackers,soup"
"chili,corn","oatmeal,graham_crackers,soup,corn"
"dr_pepper,sprite","oatmeal,graham_crackers,soup,corn,chili,sprite"
"peas,chili","oatmeal,graham_crackers,soup,corn,chili,sprite,dr_pepper"
"peanut_butter,oatmeal","oatmeal,graham_crackers,soup,corn,chili,sprite,dr_pepper,peas"
"banana,apple","oatmeal,graham_crackers,soup,corn,chili,sprite,dr_pepper,peas,peanut_butter,oatmeal,nutella,apple"
"breakfast_cereal,cereal",cereal
"dr_pepper,sprite","cereal,breakfast_cereal,cereal,sprite"
