8
tomato paste, 0,
toilet paper, 1,
bowl, 2,
gum, 3,
cereal_2, 4,
salt_1, 5,
nut, 6,
chocolate syrup, 7,
tomato paste, toilet paper, 0.0,
tomato paste, bowl, 0.1,
tomato paste, gum, 0.2,
tomato paste, cereal_2, 0.2,
tomato paste, salt_1, 0.9,
tomato paste, nut, 0.4,
tomato paste, chocolate syrup, 0.3,
toilet paper, bowl, 0.6,
toilet paper, gum, 0.1,
toilet paper, cereal_2, 0.2,
toilet paper, salt_1, 0.4,
toilet paper, nut, 0.1,
toilet paper, chocolate syrup, 0.1,
bowl, gum, 0.1,
bowl, cereal_2, 0.9,
bowl, salt_1, 0.3,
bowl, nut, 0.5,
bowl, chocolate syrup, 0.5,
gum, cereal_2, 0.2, 
gum, salt_1, 0.1,
gum, nut, 0.4,
gum, chocolate syrup, 0.7,
cereal_2, salt_1, 0.2,
cereal_2, nut, 0.6,
cereal_2, chocolate syrup, 0.5,
salt_1, nut, 0.5,
salt_1, chocolate syrup, 0.3,
