5408, 12300, 5408, 97763, 5408, 5408, 1, 1, bread, onion, bread, grape_juice, bread 
6050, 12300, 6050, 30880, 6050, 6050, 1, 1, corn, onion, corn, crackers, corn 
53070, 14073, 30880, 18450, 14073, 14073, 0, 0, potato_chips, coke, crackers, cereal, coke 
53070, 30880, 42488, 17059, 30880, 42488, 0, 1, potato_chips, crackers, orange_juice, jelly, crackers 
6050, 14073, 42488, 6050, 6050, 6050, 2, 2, corn, coke, orange_juice, corn, corn 
30880, 6050, 2304, 97763, 97763, 2304, 2, 1, crackers, corn, orange, grape_juice, grape_juice 
12300, 2087, 30880, 14073, 2087, 2087, 0, 0, onion, apple, crackers, coke, apple 
53070, 53070, 17059, 5408, 53070, 53070, 0, 0, potato_chips, potato_chips, jelly, bread, potato_chips 
12300, 2087, 18450, 17059, 2087, 2087, 0, 0, onion, apple, cereal, jelly, apple 
18450, 42488, 6050, 17059, 17059, 6050, 2, 1, cereal, orange_juice, corn, jelly, jelly 
5408, 5408, 2304, 53070, 5408, 5408, 0, 0, bread, bread, orange, potato_chips, bread 
97763, 30880, 53070, 17059, 17059, 17059, 2, 2, grape_juice, crackers, potato_chips, jelly, jelly 
18450, 42488, 12300, 5408, 5408, 5408, 2, 2, cereal, orange_juice, onion, bread, bread 
42488, 97763, 6050, 17059, 97763, 6050, 0, 1, orange_juice, grape_juice, corn, jelly, grape_juice 
14073, 2087, 18450, 14073, 14073, 14073, 2, 2, coke, apple, cereal, coke, coke 
97763, 12300, 17059, 6050, 17059, 6050, 1, 2, grape_juice, onion, jelly, corn, jelly 
2304, 53070, 97763, 5408, 5408, 5408, 2, 2, orange, potato_chips, grape_juice, bread, bread 
42488, 53070, 97763, 12300, 97763, 12300, 1, 2, orange_juice, potato_chips, grape_juice, onion, grape_juice 
17059, 5408, 14073, 17059, 17059, 17059, 2, 2, jelly, bread, coke, jelly, jelly 
5408, 2087, 42488, 14073, 2087, 2087, 0, 0, bread, apple, orange_juice, coke, apple 
2304, 30880, 12300, 14073, 14073, 12300, 2, 1, orange, crackers, onion, coke, coke 
97763, 42488, 53070, 18450, 42488, 18450, 0, 2, grape_juice, orange_juice, potato_chips, cereal, orange_juice 
42488, 53070, 18450, 5408, 18450, 5408, 1, 2, orange_juice, potato_chips, cereal, bread, cereal 
97763, 42488, 2304, 17059, 42488, 2304, 0, 1, grape_juice, orange_juice, orange, jelly, orange_juice 
53070, 14073, 53070, 12300, 53070, 53070, 1, 1, potato_chips, coke, potato_chips, onion, potato_chips 
14073, 30880, 12300, 42488, 42488, 12300, 2, 1, coke, crackers, onion, orange_juice, orange_juice 
12300, 30880, 12300, 14073, 12300, 12300, 1, 1, onion, crackers, onion, coke, onion 
2304, 18450, 2304, 6050, 2304, 2304, 1, 1, orange, cereal, orange, corn, orange 
17059, 30880, 2087, 6050, 2087, 6050, 1, 2, jelly, crackers, apple, corn, apple 
5408, 18450, 30880, 6050, 30880, 6050, 1, 2, bread, cereal, crackers, corn, crackers 
5408, 17059, 42488, 12300, 17059, 12300, 0, 2, bread, jelly, orange_juice, onion, jelly 
12300, 2087, 5408, 53070, 2087, 5408, 0, 1, onion, apple, bread, potato_chips, apple 
53070, 42488, 97763, 14073, 14073, 14073, 2, 2, potato_chips, orange_juice, grape_juice, coke, coke 
18450, 18450, 5408, 6050, 18450, 18450, 0, 0, cereal, cereal, bread, corn, cereal 
17059, 12300, 2304, 18450, 18450, 2304, 2, 1, jelly, onion, orange, cereal, cereal 
17059, 6050, 53070, 2304, 53070, 2304, 1, 2, jelly, corn, potato_chips, orange, potato_chips 
18450, 2087, 42488, 30880, 30880, 2087, 2, 0, cereal, apple, orange_juice, crackers, crackers 
5408, 2087, 30880, 97763, 30880, 2087, 1, 0, bread, apple, crackers, grape_juice, crackers 
17059, 30880, 2304, 97763, 30880, 2304, 0, 1, jelly, crackers, orange, grape_juice, crackers 
2087, 97763, 42488, 6050, 6050, 6050, 2, 2, apple, grape_juice, orange_juice, corn, corn 
53070, 5408, 42488, 2087, 42488, 2087, 1, 2, potato_chips, bread, orange_juice, apple, orange_juice 
2087, 2087, 12300, 6050, 2087, 2087, 0, 0, apple, apple, onion, corn, apple 
97763, 97763, 5408, 17059, 97763, 97763, 0, 0, grape_juice, grape_juice, bread, jelly, grape_juice 
97763, 2087, 12300, 30880, 2087, 2087, 0, 0, grape_juice, apple, onion, crackers, apple 
2087, 14073, 6050, 97763, 6050, 6050, 1, 1, apple, coke, corn, grape_juice, corn 
5408, 17059, 2087, 12300, 17059, 12300, 0, 2, bread, jelly, apple, onion, jelly 
2304, 17059, 6050, 53070, 6050, 6050, 1, 1, orange, jelly, corn, potato_chips, corn 
42488, 53070, 97763, 2304, 97763, 2304, 1, 2, orange_juice, potato_chips, grape_juice, orange, grape_juice 
17059, 42488, 53070, 5408, 42488, 5408, 0, 2, jelly, orange_juice, potato_chips, bread, orange_juice 
97763, 12300, 17059, 6050, 17059, 6050, 1, 2, grape_juice, onion, jelly, corn, jelly 
97763, 18450, 12300, 53070, 18450, 18450, 0, 0, grape_juice, cereal, onion, potato_chips, cereal 
53070, 42488, 12300, 2304, 2304, 2304, 2, 2, potato_chips, orange_juice, onion, orange, orange 
2304, 6050, 14073, 53070, 6050, 6050, 0, 0, orange, corn, coke, potato_chips, corn 
97763, 30880, 18450, 2087, 2087, 2087, 2, 2, grape_juice, crackers, cereal, apple, apple 
2087, 30880, 42488, 18450, 18450, 18450, 2, 2, apple, crackers, orange_juice, cereal, cereal 
2087, 42488, 53070, 12300, 42488, 12300, 0, 2, apple, orange_juice, potato_chips, onion, orange_juice 
12300, 14073, 5408, 2087, 2087, 5408, 2, 1, onion, coke, bread, apple, apple 
18450, 53070, 12300, 2304, 53070, 2304, 0, 2, cereal, potato_chips, onion, orange, potato_chips 
42488, 97763, 17059, 18450, 97763, 18450, 0, 2, orange_juice, grape_juice, jelly, cereal, grape_juice 
12300, 97763, 17059, 18450, 97763, 18450, 0, 2, onion, grape_juice, jelly, cereal, grape_juice 
97763, 2087, 42488, 30880, 42488, 2087, 1, 0, grape_juice, apple, orange_juice, crackers, orange_juice 
5408, 2087, 30880, 97763, 30880, 2087, 1, 0, bread, apple, crackers, grape_juice, crackers 
30880, 2087, 6050, 53070, 53070, 6050, 2, 1, crackers, apple, corn, potato_chips, potato_chips 
42488, 2087, 18450, 17059, 17059, 2087, 2, 0, orange_juice, apple, cereal, jelly, jelly 
17059, 14073, 5408, 53070, 5408, 5408, 1, 1, jelly, coke, bread, potato_chips, bread 
12300, 12300, 6050, 30880, 12300, 12300, 0, 0, onion, onion, corn, crackers, onion 
30880, 42488, 53070, 17059, 53070, 17059, 1, 2, crackers, orange_juice, potato_chips, jelly, potato_chips 
2304, 42488, 97763, 14073, 42488, 14073, 0, 2, orange, orange_juice, grape_juice, coke, orange_juice 
12300, 5408, 6050, 53070, 5408, 5408, 0, 0, onion, bread, corn, potato_chips, bread 
2087, 5408, 2304, 2087, 2087, 2087, 2, 2, apple, bread, orange, apple, apple 
5408, 14073, 53070, 12300, 53070, 12300, 1, 2, bread, coke, potato_chips, onion, potato_chips 
6050, 2087, 12300, 6050, 6050, 6050, 2, 2, corn, apple, onion, corn, corn 
12300, 2304, 6050, 42488, 2304, 2304, 0, 0, onion, orange, corn, orange_juice, orange 
53070, 17059, 42488, 97763, 17059, 42488, 0, 1, potato_chips, jelly, orange_juice, grape_juice, jelly 
2304, 5408, 12300, 53070, 5408, 5408, 0, 0, orange, bread, onion, potato_chips, bread 
5408, 2304, 18450, 97763, 18450, 2304, 1, 0, bread, orange, cereal, grape_juice, cereal 
2304, 2087, 12300, 6050, 2087, 6050, 0, 2, orange, apple, onion, corn, apple 
97763, 30880, 14073, 53070, 14073, 14073, 1, 1, grape_juice, crackers, coke, potato_chips, coke 
2304, 12300, 53070, 17059, 12300, 12300, 0, 0, orange, onion, potato_chips, jelly, onion 
18450, 12300, 2087, 14073, 14073, 2087, 2, 1, cereal, onion, apple, coke, coke 
14073, 18450, 30880, 6050, 18450, 6050, 0, 2, coke, cereal, crackers, corn, cereal 
42488, 12300, 97763, 30880, 97763, 12300, 1, 0, orange_juice, onion, grape_juice, crackers, grape_juice 
2304, 2304, 18450, 97763, 2304, 2304, 0, 0, orange, orange, cereal, grape_juice, orange 
97763, 97763, 17059, 18450, 97763, 97763, 0, 0, grape_juice, grape_juice, jelly, cereal, grape_juice 
53070, 97763, 2304, 42488, 97763, 2304, 0, 1, potato_chips, grape_juice, orange, orange_juice, grape_juice 
30880, 12300, 6050, 18450, 6050, 6050, 1, 1, crackers, onion, corn, cereal, corn 
6050, 12300, 2304, 14073, 12300, 2304, 0, 1, corn, onion, orange, coke, onion 
97763, 2304, 5408, 12300, 5408, 5408, 1, 1, grape_juice, orange, bread, onion, bread 
6050, 42488, 17059, 5408, 42488, 5408, 0, 2, corn, orange_juice, jelly, bread, orange_juice 
97763, 18450, 30880, 12300, 30880, 18450, 1, 0, grape_juice, cereal, crackers, onion, crackers 
53070, 30880, 42488, 17059, 30880, 42488, 0, 1, potato_chips, crackers, orange_juice, jelly, crackers 
42488, 2087, 17059, 30880, 2087, 2087, 0, 0, orange_juice, apple, jelly, crackers, apple 
12300, 2087, 30880, 97763, 2087, 2087, 0, 0, onion, apple, crackers, grape_juice, apple 
2087, 17059, 5408, 30880, 5408, 5408, 1, 1, apple, jelly, bread, crackers, bread 
5408, 12300, 2304, 6050, 12300, 2304, 0, 1, bread, onion, orange, corn, onion 
6050, 5408, 18450, 97763, 97763, 5408, 2, 0, corn, bread, cereal, grape_juice, grape_juice 
17059, 12300, 2087, 53070, 2087, 2087, 1, 1, jelly, onion, apple, potato_chips, apple 
53070, 14073, 30880, 18450, 30880, 14073, 1, 0, potato_chips, coke, crackers, cereal, crackers 
12300, 17059, 6050, 18450, 17059, 6050, 0, 1, onion, jelly, corn, cereal, jelly 
5408, 2304, 30880, 53070, 30880, 2304, 1, 0, bread, orange, crackers, potato_chips, crackers 
17059, 12300, 5408, 97763, 97763, 5408, 2, 1, jelly, onion, bread, grape_juice, grape_juice 
6050, 14073, 53070, 97763, 53070, 14073, 1, 0, corn, coke, potato_chips, grape_juice, potato_chips 
18450, 97763, 5408, 17059, 5408, 17059, 1, 2, cereal, grape_juice, bread, jelly, bread 
53070, 6050, 53070, 2304, 53070, 53070, 1, 1, potato_chips, corn, potato_chips, orange, potato_chips 
12300, 17059, 6050, 53070, 53070, 6050, 2, 1, onion, jelly, corn, potato_chips, potato_chips 
53070, 18450, 53070, 6050, 53070, 53070, 1, 1, potato_chips, cereal, potato_chips, corn, potato_chips 
12300, 97763, 18450, 6050, 18450, 6050, 1, 2, onion, grape_juice, cereal, corn, cereal 
2087, 42488, 14073, 5408, 42488, 5408, 0, 2, apple, orange_juice, coke, bread, orange_juice 
18450, 18450, 12300, 2087, 18450, 18450, 0, 0, cereal, cereal, onion, apple, cereal 
2087, 17059, 12300, 18450, 12300, 18450, 1, 2, apple, jelly, onion, cereal, onion 
42488, 97763, 5408, 17059, 97763, 5408, 0, 1, orange_juice, grape_juice, bread, jelly, grape_juice 
17059, 2304, 6050, 42488, 42488, 2304, 2, 0, jelly, orange, corn, orange_juice, orange_juice 
5408, 18450, 2304, 2087, 18450, 2304, 0, 1, bread, cereal, orange, apple, cereal 
30880, 2087, 53070, 14073, 53070, 2087, 1, 0, crackers, apple, potato_chips, coke, potato_chips 
2304, 14073, 53070, 97763, 97763, 14073, 2, 0, orange, coke, potato_chips, grape_juice, grape_juice 
2087, 6050, 97763, 5408, 6050, 6050, 0, 0, apple, corn, grape_juice, bread, corn 
14073, 30880, 2087, 6050, 2087, 6050, 1, 2, coke, crackers, apple, corn, apple 
42488, 12300, 2087, 53070, 2087, 2087, 1, 1, orange_juice, onion, apple, potato_chips, apple 
18450, 18450, 53070, 6050, 18450, 18450, 0, 0, cereal, cereal, potato_chips, corn, cereal 
53070, 30880, 6050, 17059, 6050, 6050, 1, 1, potato_chips, crackers, corn, jelly, corn 
5408, 14073, 53070, 97763, 97763, 14073, 2, 0, bread, coke, potato_chips, grape_juice, grape_juice 
30880, 97763, 17059, 14073, 97763, 14073, 0, 2, crackers, grape_juice, jelly, coke, grape_juice 
5408, 42488, 6050, 17059, 17059, 6050, 2, 1, bread, orange_juice, corn, jelly, jelly 
97763, 97763, 12300, 6050, 97763, 97763, 0, 0, grape_juice, grape_juice, onion, corn, grape_juice 
17059, 30880, 53070, 17059, 17059, 17059, 2, 2, jelly, crackers, potato_chips, jelly, jelly 
97763, 12300, 2087, 53070, 2087, 2087, 1, 1, grape_juice, onion, apple, potato_chips, apple 
6050, 5408, 18450, 42488, 18450, 5408, 1, 0, corn, bread, cereal, orange_juice, cereal 
53070, 30880, 12300, 53070, 53070, 53070, 2, 2, potato_chips, crackers, onion, potato_chips, potato_chips 
97763, 2304, 5408, 42488, 42488, 5408, 2, 1, grape_juice, orange, bread, orange_juice, orange_juice 
14073, 2304, 30880, 53070, 2304, 2304, 0, 0, coke, orange, crackers, potato_chips, orange 
12300, 42488, 12300, 2304, 12300, 12300, 1, 1, onion, orange_juice, onion, orange, onion 
14073, 17059, 5408, 6050, 6050, 6050, 2, 2, coke, jelly, bread, corn, corn 
53070, 2304, 5408, 14073, 5408, 2304, 1, 0, potato_chips, orange, bread, coke, bread 
12300, 18450, 30880, 12300, 12300, 12300, 2, 2, onion, cereal, crackers, onion, onion 
14073, 5408, 2304, 17059, 2304, 2304, 1, 1, coke, bread, orange, jelly, orange 
12300, 5408, 14073, 17059, 17059, 5408, 2, 0, onion, bread, coke, jelly, jelly 
97763, 12300, 97763, 42488, 97763, 97763, 1, 1, grape_juice, onion, grape_juice, orange_juice, grape_juice 
5408, 18450, 14073, 5408, 5408, 5408, 2, 2, bread, cereal, coke, bread, bread 
2087, 97763, 14073, 12300, 12300, 14073, 2, 1, apple, grape_juice, coke, onion, onion 
6050, 14073, 30880, 5408, 5408, 5408, 2, 2, corn, coke, crackers, bread, bread 
97763, 17059, 14073, 18450, 17059, 14073, 0, 1, grape_juice, jelly, coke, cereal, jelly 
6050, 42488, 14073, 17059, 17059, 14073, 2, 1, corn, orange_juice, coke, jelly, jelly 
5408, 97763, 2087, 42488, 97763, 2087, 0, 1, bread, grape_juice, apple, orange_juice, grape_juice 
17059, 14073, 18450, 12300, 18450, 18450, 1, 1, jelly, coke, cereal, onion, cereal 
5408, 2304, 2087, 12300, 2087, 2304, 1, 0, bread, orange, apple, onion, apple 
2087, 6050, 2087, 17059, 2087, 2087, 1, 1, apple, corn, apple, jelly, apple 
2087, 53070, 18450, 5408, 18450, 5408, 1, 2, apple, potato_chips, cereal, bread, cereal 
2087, 2304, 53070, 18450, 2304, 2304, 0, 0, apple, orange, potato_chips, cereal, orange 
42488, 42488, 53070, 14073, 42488, 42488, 0, 0, orange_juice, orange_juice, potato_chips, coke, orange_juice 
2087, 42488, 18450, 2304, 2304, 2304, 2, 2, apple, orange_juice, cereal, orange, orange 
97763, 2304, 5408, 12300, 2304, 5408, 0, 1, grape_juice, orange, bread, onion, orange 
5408, 18450, 53070, 6050, 53070, 6050, 1, 2, bread, cereal, potato_chips, corn, potato_chips 
5408, 30880, 12300, 14073, 30880, 12300, 0, 1, bread, crackers, onion, coke, crackers 
42488, 14073, 97763, 30880, 30880, 14073, 2, 0, orange_juice, coke, grape_juice, crackers, crackers 
14073, 18450, 53070, 14073, 14073, 14073, 2, 2, coke, cereal, potato_chips, coke, coke 
18450, 97763, 2304, 2087, 97763, 2304, 0, 1, cereal, grape_juice, orange, apple, grape_juice 
2304, 12300, 2304, 14073, 2304, 2304, 1, 1, orange, onion, orange, coke, orange 
12300, 53070, 17059, 5408, 5408, 5408, 2, 2, onion, potato_chips, jelly, bread, bread 
2304, 14073, 30880, 42488, 42488, 14073, 2, 0, orange, coke, crackers, orange_juice, orange_juice 
5408, 18450, 14073, 2304, 14073, 2304, 1, 2, bread, cereal, coke, orange, coke 
18450, 2304, 18450, 5408, 18450, 18450, 1, 1, cereal, orange, cereal, bread, cereal 
42488, 53070, 97763, 17059, 97763, 17059, 1, 2, orange_juice, potato_chips, grape_juice, jelly, grape_juice 
12300, 5408, 42488, 2087, 2087, 5408, 2, 0, onion, bread, orange_juice, apple, apple 
2304, 18450, 42488, 12300, 12300, 12300, 2, 2, orange, cereal, orange_juice, onion, onion 
42488, 30880, 12300, 42488, 42488, 42488, 2, 2, orange_juice, crackers, onion, orange_juice, orange_juice 
6050, 12300, 2087, 53070, 2087, 2087, 1, 1, corn, onion, apple, potato_chips, apple 
12300, 17059, 14073, 30880, 17059, 14073, 0, 1, onion, jelly, coke, crackers, jelly 
18450, 5408, 17059, 2087, 5408, 2087, 0, 2, cereal, bread, jelly, apple, bread 
6050, 97763, 12300, 6050, 6050, 6050, 2, 2, corn, grape_juice, onion, corn, corn 
2087, 12300, 42488, 6050, 6050, 6050, 2, 2, apple, onion, orange_juice, corn, corn 
42488, 14073, 30880, 18450, 14073, 18450, 0, 2, orange_juice, coke, crackers, cereal, coke 
6050, 97763, 18450, 53070, 97763, 18450, 0, 1, corn, grape_juice, cereal, potato_chips, grape_juice 
2087, 97763, 53070, 6050, 97763, 6050, 0, 2, apple, grape_juice, potato_chips, corn, grape_juice 
18450, 17059, 2304, 12300, 2304, 2304, 1, 1, cereal, jelly, orange, onion, orange 
14073, 14073, 53070, 2304, 14073, 14073, 0, 0, coke, coke, potato_chips, orange, coke 
14073, 17059, 2304, 12300, 17059, 2304, 0, 1, coke, jelly, orange, onion, jelly 
6050, 42488, 53070, 12300, 53070, 12300, 1, 2, corn, orange_juice, potato_chips, onion, potato_chips 
30880, 30880, 2304, 97763, 30880, 30880, 0, 0, crackers, crackers, orange, grape_juice, crackers 
5408, 97763, 5408, 14073, 5408, 5408, 1, 1, bread, grape_juice, bread, coke, bread 
5408, 5408, 14073, 17059, 5408, 5408, 0, 0, bread, bread, coke, jelly, bread 
6050, 5408, 2087, 30880, 2087, 5408, 1, 0, corn, bread, apple, crackers, apple 
14073, 18450, 12300, 53070, 53070, 18450, 2, 0, coke, cereal, onion, potato_chips, potato_chips 
2087, 53070, 97763, 12300, 12300, 12300, 2, 2, apple, potato_chips, grape_juice, onion, onion 
6050, 5408, 14073, 17059, 17059, 5408, 2, 0, corn, bread, coke, jelly, jelly 
6050, 42488, 2304, 17059, 42488, 2304, 0, 1, corn, orange_juice, orange, jelly, orange_juice 
6050, 2087, 18450, 53070, 53070, 2087, 2, 0, corn, apple, cereal, potato_chips, potato_chips 
2304, 12300, 17059, 6050, 12300, 6050, 0, 2, orange, onion, jelly, corn, onion 
6050, 12300, 17059, 6050, 6050, 6050, 2, 2, corn, onion, jelly, corn, corn 
17059, 97763, 42488, 53070, 97763, 42488, 0, 1, jelly, grape_juice, orange_juice, potato_chips, grape_juice 
53070, 2087, 17059, 30880, 30880, 2087, 2, 0, potato_chips, apple, jelly, crackers, crackers 
17059, 12300, 2087, 42488, 2087, 2087, 1, 1, jelly, onion, apple, orange_juice, apple 
97763, 14073, 18450, 12300, 14073, 14073, 0, 0, grape_juice, coke, cereal, onion, coke 
6050, 53070, 97763, 12300, 53070, 12300, 0, 2, corn, potato_chips, grape_juice, onion, potato_chips 
97763, 12300, 2087, 42488, 42488, 2087, 2, 1, grape_juice, onion, apple, orange_juice, orange_juice 
53070, 2087, 42488, 30880, 30880, 2087, 2, 0, potato_chips, apple, orange_juice, crackers, crackers 
